"","x"
"1","TMEM180"
"2","FAM66C"
"3","LINC00507"
"4","TPT1-AS1"
"5","HERC2P9"
"6","LOC100996255"
"7","DPH6-AS1"
"8","SLX1B-SULT1A4"
"9","MIR548N"
"10","SELO"
"11","SELT"
"12","HRASLS"
"13","TMEM161B-AS1"
"14","LINC00265"
"15","LINC01000"
"16","PVT1"
"17","FRG1HP"
"18","MINOS1-NBL1"
"19","LOC728730"
"20","LINC00634"
"21","RPL23AP82"
"22","GTF2H2B"
"23","TRAF3IP2-AS1"
"24","TRAF3IP2-AS1"
"25","ARMCX5-GPRASP2"
"26","TMEM5"
"27","SNORD109B"
"28","SLX1B-SULT1A4"
"29","DNAJC27-AS1"
"30","ZFAS1"
"31","FAM19A5"
"32","LOC645513"
"33","JPX"
"34","GAREML"
"35","ATP5F1"
"36","KIAA1033"
"37","CCDC176"
"38","C16orf45"
"39","SLX1B-SULT1A4"
"40","SLX1B-SULT1A4"
"41","KIAA0195"
"42","LIPE-AS1"
"43","PQLC3"
"44","SOX2-OT"
"45","HRASLS"
"46","GUCY1A3"
"47","PAPD4"
"48","KIAA0141"
"49","ADCY10P1"
"50","LINC00996"
"51","RQCD1"
"52","SETD8"
"53","ZNF664-FAM101A"
"54","GAREML"
"55","TMEM161B-AS1"
"56","C16orf45"
"57","MINOS1-NBL1"
"58","LINC01140"
"59","MRVI1-AS1"
"60","FLJ41278"
"61","KIAA1033"
"62","SETD8"
"63","LINC00507"
"64","LINC00507"
"65","TPT1-AS1"
"66","RNF219-AS1"
"67","FAM179B"
"68","WHAMMP2"
"69","CIRH1A"
"70","USP32P1"
"71","USP32P1"
"72","ZNF271P"
"73","C19orf60"
"74","CENPBD1P1"
"75","DGCR5"
"76","LINC00634"
"77","LINC00693"
"78","LINC01094"
"79","GTF2H2B"
"80","ZBED3-AS1"
"81","TRAF3IP2-AS1"
"82","LINC01189"
"83","LINC01189"
"84","FAM73B"
"85","JPX"
"86","ARMCX5-GPRASP2"
"87","BCDIN3D-AS1"
"88","LINC00907"
"89","MIR548N"
"90","DGCR5"
"91","WHSC1"
"92","INMT-FAM188B"
"93","LOC729970"
"94","DGCR5"
"95","DGCR5"
"96","ZBED3-AS1"
"97","MFSD4"
"98","ZNF664-FAM101A"
"99","PCNX"
"100","DGCR5"
"101","ZBED3-AS1"
"102","TMEM161B-AS1"
"103","C1orf228"
"104","KIAA1033"
"105","SNORD109B"
"106","DNAJC27-AS1"
"107","MIR548N"
"108","ADCY10P1"
"109","TRAF3IP2-AS1"
"110","C10orf35"
"111","TPT1-AS1"
"112","LOC100507387"
"113","ADCY10P1"
"114","LOC645166"
"115","MIR548N"
"116","CASC15"
"117","TRAF3IP2-AS1"
"118","SNAI3-AS1"
"119","PTCHD3P1"
"120","KIAA1033"
"121","ZNF664-FAM101A"
"122","SLX1B-SULT1A4"
"123","AHSA2"
"124","ADAMTS9-AS2"
"125","PAPD4"
"126","DOPEY1"
"127","JAZF1-AS1"
"128","MINOS1-NBL1"
"129","FAM66C"
"130","LINC00507"
"131","RBFADN"
"132","PAPD4"
"133","ARMCX5-GPRASP2"
"134","LOC399815"
"135","FAM66C"
"136","SNORD109B"
"137","LOC100287036"
"138","KIAA1468"
"139","PARD6G-AS1"
"140","C19orf60"
"141","LIPE-AS1"
