"","GENECARDS","ENTRY-NAME"
"1","KCNAB2","KCAB2_HUMAN"
"2","CAMTA1","CMTA1_HUMAN"
"3","WDTC1","WDTC1_HUMAN"
"4","TMEM39B","TM39B_HUMAN"
"5","MROH7-TTC4","A0A0A0MT08_HUMAN"
"6","MROH7-TTC4","F8WC02_HUMAN"
"7","FPGT-TNNI3K","A0A3B3ITB1_HUMAN"
"8","FPGT-TNNI3K","A6NHC7_HUMAN"
"9","FPGT-TNNI3K","E9PKE1_HUMAN"
"10","FPGT-TNNI3K","V9GXZ4_HUMAN"
"11","AGL","GDE_HUMAN"
"12","FDPS","FPPS_HUMAN"
"13","SYT11","SYT11_HUMAN"
"14","CEP350","CE350_HUMAN"
"15","KCTD3","KCTD3_HUMAN"
"16","FAM149B1","F149B_HUMAN"
"17","INPP5F","SAC2_HUMAN"
"18","LHPP","LHPP_HUMAN"
"19","TKFC","TKFC_HUMAN"
"20","RTN3","RTN3_HUMAN"
"21","DPP3","DPP3_HUMAN"
"22","RBM4","RBM4_HUMAN"
"23","NEU3","NEUR3_HUMAN"
"24","AAMDC","AAMDC_HUMAN"
"25","ABCG4","ABCG4_HUMAN"
"26","DNM1L","DNM1L_HUMAN"
"27","DIP2B","DIP2B_HUMAN"
"28","DGKA","DGKA_HUMAN"
"29","SYT1","SYT1_HUMAN"
"30","PLBD2","PLBL2_HUMAN"
"31","GLT1D1","GL1D1_HUMAN"
"32","BORA","BORA_HUMAN"
"33","CDC16","CDC16_HUMAN"
"34","LRFN5","LRFN5_HUMAN"
"35","KLHDC1","KLDC1_HUMAN"
"36","KTN1","KTN1_HUMAN"
"37","KLC1","KLC1_HUMAN"
"38","CKMT1A","KCRU_HUMAN"
"39","GALK2","GALK2_HUMAN"
"39.1","GALK2","GALK2_HUMAN"
"40","SNX1","SNX1_HUMAN"
"41","HACD3","HACD3_HUMAN"
"42","SCAMP5","SCAM5_HUMAN"
"42.1","SCAMP5","SCAM5_HUMAN"
"43","NEIL1","NEIL1_HUMAN"
"44","PHKB","KPBB_HUMAN"
"45","PLA2G15","PAG15_HUMAN"
"46","ZNRF1","ZNRF1_HUMAN"
"47","DYNLRB2","DLRB2_HUMAN"
"48","JPH3","JPH3_HUMAN"
"49","TUBG2","TBG2_HUMAN"
"50","ACBD4","ACBD4_HUMAN"
"51","ZNF554","ZN554_HUMAN"
"52","RFXANK","RFXK_HUMAN"
"53","UBA2","SAE2_HUMAN"
"54","ZNF420","ZN420_HUMAN"
"55","ZNF880","ZN880_HUMAN"
"56","SLC1A4","SATT_HUMAN"
"57","ZNF638","ZN638_HUMAN"
"58","PTPN18","PTN18_HUMAN"
"59","R3HDM1","R3HD1_HUMAN"
"60","MBD5","MBD5_HUMAN"
"61","PSMD14","PSDE_HUMAN"
"62","GULP1","GULP1_HUMAN"
"63","ABI2","ABI2_HUMAN"
"64","EEF1B2","EF1B_HUMAN"
"65","DNAJB2","DNJB2_HUMAN"
"66","ARMC9","ARMC9_HUMAN"
"67","UBE2F-SCLY","H3BSR4_HUMAN"
"68","UBE2F-SCLY","H3BUI7_HUMAN"
"69","SNED1","SNED1_HUMAN"
"70","SNAP25","SNP25_HUMAN"
"70.1","SNAP25","SNP25_HUMAN"
"71","DSTN","DEST_HUMAN"
"72","BCAS4","BCAS4_HUMAN"
"73","PCBP3","PCBP3_HUMAN"
"73.1","PCBP3","PCBP3_HUMAN"
"74","TTC38","TTC38_HUMAN"
"75","BRK1","BRK1_HUMAN"
"76","GOLGA4","GOGA4_HUMAN"
"77","C3orf14","CC014_HUMAN"
"78","CLDN11","CLD11_HUMAN"
"79","ZNF639","ZN639_HUMAN"
"80","EIF2B5","EI2BE_HUMAN"
"81","CHRD","CHRD_HUMAN"
"82","VPS8","VPS8_HUMAN"
"83","OPA1","OPA1_HUMAN"
"84","GRK4","GRK4_HUMAN"
"85","ART3","NAR3_HUMAN"
"86","COPS4","CSN4_HUMAN"
"87","METAP1","MAP11_HUMAN"
"88","LARP1B","LAR1B_HUMAN"
"89","GLRB","GLRB_HUMAN"
"90","KLHL2","KLHL2_HUMAN"
"91","PDCD6","PDCD6_HUMAN"
"92","COMMD10","COMDA_HUMAN"
"93","HSD17B4","DHB4_HUMAN"
"94","CXXC5","CXXC5_HUMAN"
"95","SLC6A7","SC6A7_HUMAN"
"96","CNOT6","CNOT6_HUMAN"
"97","PSMG3-AS1","K1908_HUMAN"
"98","CDK13","CDK13_HUMAN"
"99","UBE2D4","UB2D4_HUMAN"
"99.1","UBE2D4","UB2D4_HUMAN"
"100","DBNL","DBNL_HUMAN"
"101","CCM2","CCM2_HUMAN"
"102","SUMF2","SUMF2_HUMAN"
"103","CRCP","RPC9_HUMAN"
"104","FKBP6","FKBP6_HUMAN"
"105","GTF2I","GTF2I_HUMAN"
"106","DMTF1","DMTF1_HUMAN"
"107","CFAP69","CFA69_HUMAN"
"108","BCAP29","BAP29_HUMAN"
"109","AGAP3","AGAP3_HUMAN"
"110","TNKS","TNKS1_HUMAN"
"111","BAALC","BAALC_HUMAN"
"112","NSMCE2","NSE2_HUMAN"
"113","LY6E","LY6E_HUMAN"
"114","KDM4C","KDM4C_HUMAN"
"115","WNK2","WNK2_HUMAN"
"116","CERCAM","GT253_HUMAN"
"116.1","CERCAM","GT253_HUMAN"
"117","CACNA1B","CAC1B_HUMAN"
"117.1","CACNA1B","CAC1B_HUMAN"
"118","GK","GLPK_HUMAN"
"119","UBA1","UBA1_HUMAN"
"120","GPR173","GP173_HUMAN"
"121","IGBP1","IGBP1_HUMAN"
"122","SLC9A6","SL9A6_HUMAN"
"123","FHL1","FHL1_HUMAN"
"124","ATP6AP1","VAS1_HUMAN"
"125","TXLNGY","TXNG2_HUMAN"
"126","PHACTR4","PHAR4_HUMAN"
"127","RBBP4","RBBP4_HUMAN"
"128","NASP","NASP_HUMAN"
"129","EFCAB7","EFCB7_HUMAN"
"130","ACADM","ACADM_HUMAN"
"131","NDUFS2","NDUS2_HUMAN"
"132","TSNAX-DISC1","C4P0D4_HUMAN"
"133","TSNAX-DISC1","C4P0D6_HUMAN"
"134","TSNAX-DISC1","C4P0D8_HUMAN"
"135","TSNAX-DISC1","Q9NRI2_HUMAN"
"136","DDX50","DDX50_HUMAN"
"137","ATRNL1","ATRN1_HUMAN"
"138","PLEKHA1","PKHA1_HUMAN"
"139","PRR5L","PRR5L_HUMAN"
"140","EXT2","EXT2_HUMAN"
"141","C11orf49","CK049_HUMAN"
"142","ACER3","ACER3_HUMAN"
"24.1","AAMDC","AAMDC_HUMAN"
"143","FDX1","ADX_HUMAN"
"144","PPHLN1","PPHLN_HUMAN"
"145","ACTR6","ARP6_HUMAN"
"146","TMEM263","TM263_HUMAN"
"147","CUX2","CUX2_HUMAN"
"148","TCTN2","TECT2_HUMAN"
"149","GPHN","GEPH_HUMAN"
"150","CYFIP1","CYFP1_HUMAN"
"151","UBFD1","UBFD1_HUMAN"
"152","CHD9","CHD9_HUMAN"
"153","WWP2","WWP2_HUMAN"
"154","IST1","IST1_HUMAN"
"155","KAT7","KAT7_HUMAN"
"156","LUC7L3","LC7L3_HUMAN"
"157","RAD51C","RA51C_HUMAN"
"158","TBCD","TBCD_HUMAN"
"159","PIK3C3","PK3C3_HUMAN"
"160","TNFRSF11A","TNR11_HUMAN"
"161","ANKRD24","ANR24_HUMAN"
"162","CATSPERG","CTSRG_HUMAN"
"163","MAP3K10","M3K10_HUMAN"
"164","HIF3A","HIF3A_HUMAN"
"165","CACNG7","CCG7_HUMAN"
"166","DYNC2LI1","DC2L1_HUMAN"
"167","ACYP2","ACYP2_HUMAN"
"168","CTNNA2","CTNA2_HUMAN"
"169","ELMOD3","ELMD3_HUMAN"
"170","PTCD3","PTCD3_HUMAN"
"171","GCC2","GCC2_HUMAN"
"172","KIF5C","KIF5C_HUMAN"
"173","SLC4A10","S4A10_HUMAN"
"174","PIKFYVE","FYV1_HUMAN"
"175","GIGYF2","GGYF2_HUMAN"
"176","PANK2","PANK2_HUMAN"
"177","IFT52","IFT52_HUMAN"
"178","SYS1-DBNDD2","F2Z2A3_HUMAN"
"179","SYS1-DBNDD2","H3BUS1_HUMAN"
"180","MED15","MED15_HUMAN"
"181","L3MBTL2","LMBL2_HUMAN"
"182","C3orf35","APRG1_HUMAN"
"183","ZNF621","ZN621_HUMAN"
"184","DNAH1","DYH1_HUMAN"
"185","CACNA2D3","CA2D3_HUMAN"
"186","SYNPR","SYNPR_HUMAN"
"187","CHMP2B","CHM2B_HUMAN"
"188","GAP43","NEUM_HUMAN"
"189","LARP7","LARP7_HUMAN"
"190","INTU","INTU_HUMAN"
"191","NDUFS4","NDUS4_HUMAN"
"192","ZFYVE16","ZFY16_HUMAN"
"193","ATP6AP1L","VAS1L_HUMAN"
"194","TCOF1","TCOF_HUMAN"
"195","WWC1","KIBRA_HUMAN"
"196","FAM153B","F153B_HUMAN"
"197","ZNF391","ZN391_HUMAN"
"198","CEP57L1","CE57L_HUMAN"
"198.1","CEP57L1","CE57L_HUMAN"
"199","TBPL1","TBPL1_HUMAN"
"200","STARD3NL","STR3N_HUMAN"
"101.1","CCM2","CCM2_HUMAN"
"201","ZNF862","ZN862_HUMAN"
"202","SPIDR","SPIDR_HUMAN"
"203","UBE2V2","UB2V2_HUMAN"
"204","ZC2HC1A","ZC21A_HUMAN"
"205","NDUFAF6","NDUF6_HUMAN"
"206","ZNF696","ZN696_HUMAN"
"207","FOCAD","FOCAD_HUMAN"
"208","ANP32B","AN32B_HUMAN"
"209","CNTRL","CNTRL_HUMAN"
"210","KRBOX4","KRBX4_HUMAN"
"211","HPRT1","HPRT_HUMAN"
"212","ZNF449","ZN449_HUMAN"
"213","RER1","RER1_HUMAN"
"213.1","RER1","RER1_HUMAN"
"214","ARHGEF10L","ARGAL_HUMAN"
"215","B4GALT2","B4GT2_HUMAN"
"216","OSBPL9","OSBL9_HUMAN"
"217","IFI44","IFI44_HUMAN"
"218","SLC35A3","S35A3_HUMAN"
"219","NBPF10","NBPFA_HUMAN"
"220","FAM163A","F163A_HUMAN"
"221","MARK1","MARK1_HUMAN"
"222","NEURL1","NEUL1_HUMAN"
"18.1","LHPP","LHPP_HUMAN"
"223","RCN1","RCN1_HUMAN"
"224","PAAF1","PAAF1_HUMAN"
"225","CNTN1","CNTN1_HUMAN"
"226","FRS2","FRS2_HUMAN"
"29.1","SYT1","SYT1_HUMAN"
"227","PRKAB1","AAKB1_HUMAN"
"228","COG6","COG6_HUMAN"
"229","RNASEH2B","RNH2B_HUMAN"
"230","UNC79","UNC79_HUMAN"
"39.2","GALK2","GALK2_HUMAN"
"39.3","GALK2","GALK2_HUMAN"
"231","MEF2A","MEF2A_HUMAN"
"232","LCMT1","LCMT1_HUMAN"
"233","VMP1","VMP1_HUMAN"
"163.1","MAP3K10","M3K10_HUMAN"
"234","PRPF31","PRP31_HUMAN"
"235","USP39","SNUT2_HUMAN"
"236","EIF5B","IF2P_HUMAN"
"237","DCAF17","DCA17_HUMAN"
"238","RPE","RPE_HUMAN"
"70.2","SNAP25","SNP25_HUMAN"
"239","CDC42EP1","BORG5_HUMAN"
"240","NUP50","NUP50_HUMAN"
"241","GALNT15","GLT15_HUMAN"
"242","PDCD6IP","PDC6I_HUMAN"
"243","WDR6","WDR6_HUMAN"
"244","PCCB","PCCB_HUMAN"
"84.1","GRK4","GRK4_HUMAN"
"245","MTHFD2L","MTD2L_HUMAN"
"246","CYFIP2","CYFP2_HUMAN"
"247","RUFY1","RUFY1_HUMAN"
"248","PI16","PI16_HUMAN"
"249","BCKDHB","ODBB_HUMAN"
"250","CYB5R4","NB5R4_HUMAN"
"251","FAM185A","F185A_HUMAN"
"252","SSPO","SSPO_HUMAN"
"253","PCM1","PCM1_HUMAN"
"254","PPP3CC","PP2BC_HUMAN"
"202.1","SPIDR","SPIDR_HUMAN"
"255","CPNE3","CPNE3_HUMAN"
"256","ADGRB1","AGRB1_HUMAN"
"257","OCRL","OCRL_HUMAN"
"258","HSD17B7","DHB7_HUMAN"
"259","TTYH1","TTYH1_HUMAN"
"260","SLX4IP","SLX4I_HUMAN"
"261","SLCO4A1","SO4A1_HUMAN"
"262","PIGX","PIGX_HUMAN"
"263","TRMT44","TRM44_HUMAN"
"264","SCAMP1","SCAM1_HUMAN"
"265","THAP3","THAP3_HUMAN"
"266","PDPN","PDPN_HUMAN"
"267","IGSF21","IGS21_HUMAN"
"268","PLA2G5","PA2G5_HUMAN"
"269","XKR8","XKR8_HUMAN"
"270","AK5","KAD5_HUMAN"
"271","DDX20","DDX20_HUMAN"
"272","SDHC","C560_HUMAN"
"273","TIMM17A","TI17A_HUMAN"
"274","TATDN3","TATD3_HUMAN"
"275","ARV1","ARV1_HUMAN"
"276","AKR1C1","AK1C1_HUMAN"
"277","MLLT10","AF10_HUMAN"
"277.1","MLLT10","AF10_HUMAN"
"278","BTRC","FBW1A_HUMAN"
"279","MXI1","MXI1_HUMAN"
"280","ILK","ILK_HUMAN"
"281","ANO3","ANO3_HUMAN"
"282","SLC3A2","4F2_HUMAN"
"20.1","RTN3","RTN3_HUMAN"
"20.2","RTN3","RTN3_HUMAN"
"283","MRPL48","RM48_HUMAN"
"284","MED17","MED17_HUMAN"
"285","DDX10","DDX10_HUMAN"
"286","EI24","EI24_HUMAN"
"287","P3H3","P3H3_HUMAN"
"288","PPFIBP1","LIPB1_HUMAN"
"289","CPSF6","CPSF6_HUMAN"
"29.2","SYT1","SYT1_HUMAN"
"290","VEZT","VEZA_HUMAN"
"291","RPH3A","RP3A_HUMAN"
"292","DNAH10","DYH10_HUMAN"
"293","PUS1","TRUA_HUMAN"
"294","UCHL3","UCHL3_HUMAN"
"295","DNAJC3","DNJC3_HUMAN"
"296","UBAC2","UBAC2_HUMAN"
"297","RBM25","RBM25_HUMAN"
"298","TUNAR","A0A1B0GTB2_HUMAN"
"299","SNRPN","RSMN_HUMAN"
"300","APBA2","APBA2_HUMAN"
"300.1","APBA2","APBA2_HUMAN"
"301","GANC","GANC_HUMAN"
"302","DTWD1","DTWD1_HUMAN"
"42.2","SCAMP5","SCAM5_HUMAN"
"303","FBXO22","FBX22_HUMAN"
"304","MPV17L","MP17L_HUMAN"
"305","CNEP1R1","NEPR1_HUMAN"
"306","DEF8","DEFI8_HUMAN"
"307","GAS8","DRC4_HUMAN"
"308","SGSM2","SGSM2_HUMAN"
"309","SENP3-EIF4A1","A0A087X0R7_HUMAN"
"310","RHOT1","MIRO1_HUMAN"
"311","WIPF2","WIPF2_HUMAN"
"312","MYCBPAP","MYBPP_HUMAN"
"313","RPS6KB1","KS6B1_HUMAN"
"314","SEC11C","SC11C_HUMAN"
"314.1","SEC11C","SC11C_HUMAN"
"315","PIN1","PIN1_HUMAN"
"316","FCGRT","FCGRN_HUMAN"
"317","NDUFA3","NDUA3_HUMAN"
"318","ZNF444","ZN444_HUMAN"
"319","FAM228B","F228B_HUMAN"
"320","VRK2","VRK2_HUMAN"
"59.1","R3HDM1","R3HD1_HUMAN"
"59.2","R3HDM1","R3HD1_HUMAN"
"321","GALNT13","GLT13_HUMAN"
"67.1","UBE2F-SCLY","H3BSR4_HUMAN"
"68.1","UBE2F-SCLY","H3BUI7_HUMAN"
"176.1","PANK2","PANK2_HUMAN"
"322","MANBAL","MANBL_HUMAN"
"323","PABPC1L","PAP1L_HUMAN"
"324","ARFGEF2","BIG2_HUMAN"
"325","CHAF1B","CAF1B_HUMAN"
"326","TRAPPC10","TPC10_HUMAN"
"327","DRG1","DRG1_HUMAN"
"328","EIF3L","EIF3L_HUMAN"
"329","POLR2F","RPAB2_HUMAN"
"186.1","SYNPR","SYNPR_HUMAN"
"330","ARL6IP5","PRAF3_HUMAN"
"331","MAATS1","CFA91_HUMAN"
"332","STXBP5L","STB5L_HUMAN"
"333","ATP2C1","AT2C1_HUMAN"
"334","NDUFB5","NDUB5_HUMAN"
"335","KLHL24","KLH24_HUMAN"
"82.1","VPS8","VPS8_HUMAN"
"336","PIGG","PIGG_HUMAN"
"337","TBC1D19","TBC19_HUMAN"
"338","DCUN1D4","DCNL4_HUMAN"
"339","MOB1B","MOB1B_HUMAN"
"86.1","COPS4","CSN4_HUMAN"
"87.1","METAP1","MAP11_HUMAN"
"189.1","LARP7","LARP7_HUMAN"
"88.1","LARP1B","LAR1B_HUMAN"
"89.1","GLRB","GLRB_HUMAN"
"340","NDUFS6","NDUS6_HUMAN"
"341","NLN","NEUL_HUMAN"
"341.1","NLN","NEUL_HUMAN"
"342","MAST4","MAST4_HUMAN"
"343","SLC12A2","S12A2_HUMAN"
"344","NPM1","NPM_HUMAN"
"345","RMND5B","RMD5B_HUMAN"
"346","BEND6","BEND6_HUMAN"
"347","SMAP1","SMAP1_HUMAN"
"348","ANKRD6","ANKR6_HUMAN"
"198.2","CEP57L1","CE57L_HUMAN"
"349","RSPH4A","RSH4A_HUMAN"
"350","RNF217","RN217_HUMAN"
"101.2","CCM2","CCM2_HUMAN"
"351","ZNF713","ZN713_HUMAN"
"352","RABGEF1","RABX5_HUMAN"
"353","TYW1","TYW1_HUMAN"
"354","DYNC1I1","DC1I1_HUMAN"
"355","CNTNAP2","CNTP2_HUMAN"
"356","NEIL2","NEIL2_HUMAN"
"357","HGSNAT","HGNAT_HUMAN"
"358","CA13","CAH13_HUMAN"
"359","CPQ","CBPQ_HUMAN"
"360","ERCC6L2","ER6L2_HUMAN"
"361","INVS","INVS_HUMAN"
"362","CDK16","CDK16_HUMAN"
"363","COX7B","COX7B_HUMAN"
"364","COL4A5","CO4A5_HUMAN"
"365","AGO3","AGO3_HUMAN"
"366","ST3GAL3","SIAT6_HUMAN"
"367","AMY2B","AMY2B_HUMAN"
"368","DISP1","DISP1_HUMAN"
"369","IGHMBP2","SMBP2_HUMAN"
"283.1","MRPL48","RM48_HUMAN"
"370","KCNA6","KCNA6_HUMAN"
"371","SLC4A8","S4A8_HUMAN"
"372","MON2","MON2_HUMAN"
"146.1","TMEM263","TM263_HUMAN"
"227.1","PRKAB1","AAKB1_HUMAN"
"373","EXOSC8","EXOS8_HUMAN"
"374","PIBF1","PIBF1_HUMAN"
"299.1","SNRPN","RSMN_HUMAN"
"375","STARD9","STAR9_HUMAN"
"376","CTDSPL2","CTSL2_HUMAN"
"377","SEMA6D","SEM6D_HUMAN"
"302.1","DTWD1","DTWD1_HUMAN"
"378","UQCRC2","QCR2_HUMAN"
"379","WWOX","WWOX_HUMAN"
"380","MGAT5B","MGT5B_HUMAN"
"381","DTNA","DTNA_HUMAN"
"382","ARMC6","ARMC6_HUMAN"
"319.1","FAM228B","F228B_HUMAN"
"383","TMEM182","TM182_HUMAN"
"384","CSRNP3","CSRN3_HUMAN"
"177.1","IFT52","IFT52_HUMAN"
"385","SMDT1","EMRE_HUMAN"
"386","MOV10L1","M10L1_HUMAN"
"387","SLC6A1","SC6A1_HUMAN"
"388","SLC38A3","S38A3_HUMAN"
"389","PKD2","PKD2_HUMAN"
"390","SDHAF4","SDHF4_HUMAN"
"391","TAX1BP1","TAXB1_HUMAN"
"354.1","DYNC1I1","DC1I1_HUMAN"
"392","ZNF212","ZN212_HUMAN"
"393","ZNF775","ZN775_HUMAN"
"394","FAM66E","FA66E_HUMAN"
"395","SLC44A1","CTL1_HUMAN"
"396","TMEM38B","TM38B_HUMAN"
"397","RABGAP1","RBGP1_HUMAN"
"398","CDC123","CD123_HUMAN"
"399","IQSEC3","IQEC3_HUMAN"
"400","TMEM19","TMM19_HUMAN"
"308.1","SGSM2","SGSM2_HUMAN"
"401","USF2","USF2_HUMAN"
"402","RHOQ","RHOQ_HUMAN"
"403","PCIF1","CAPAM_HUMAN"
"180.1","MED15","MED15_HUMAN"
"332.1","STXBP5L","STB5L_HUMAN"
"404","RNF13","RNF13_HUMAN"
"405","PGBD1","PGBD1_HUMAN"
"406","DFFB","DFFB_HUMAN"
"407","SPATS2","SPAS2_HUMAN"
"31.1","GLT1D1","GL1D1_HUMAN"
"310.1","RHOT1","MIRO1_HUMAN"
"408","ZNF568","ZN568_HUMAN"
"409","BRSK1","BRSK1_HUMAN"
"319.2","FAM228B","F228B_HUMAN"
"177.2","IFT52","IFT52_HUMAN"
"410","ZNF620","ZN620_HUMAN"
"411","LARS2","SYLM_HUMAN"
"412","ARIH2","ARI2_HUMAN"
"413","PAM","AMD_HUMAN"
"414","MRPL22","RM22_HUMAN"
"415","ADRA1B","ADA1B_HUMAN"
"416","RARS","SYRC_HUMAN"
"417","MTO1","MTO1_HUMAN"
"418","RWDD2A","RWD2A_HUMAN"
"419","RUNDC3B","RUN3B_HUMAN"
"420","OXR1","OXR1_HUMAN"
"116.2","CERCAM","GT253_HUMAN"
"1.1","KCNAB2","KCAB2_HUMAN"
"421","CROCC","CROCC_HUMAN"
"422","HTR6","5HT6R_HUMAN"
"423","PIGV","PIGV_HUMAN"
"424","NUDC","NUDC_HUMAN"
"269.1","XKR8","XKR8_HUMAN"
"425","MANEAL","MANEL_HUMAN"
"426","ZMPSTE24","FACE1_HUMAN"
"427","NFYC","NFYC_HUMAN"
"428","MPL","TPOR_HUMAN"
"429","KDM4A","KDM4A_HUMAN"
"430","DNAJC6","AUXI_HUMAN"
"431","LRRC8B","LRC8B_HUMAN"
"432","EPHX4","EPHX4_HUMAN"
"433","MOV10","MOV10_HUMAN"
"434","GABPB2","GABP2_HUMAN"
"435","DAP3","RT29_HUMAN"
"436","GPR137B","G137B_HUMAN"
"437","RYR2","RYR2_HUMAN"
"438","CHRM3","ACM3_HUMAN"
"439","SAMD8","SAMD8_HUMAN"
"440","RGR","RGR_HUMAN"
"441","PTEN","PTEN_HUMAN"
"442","EXOC6","EXOC6_HUMAN"
"443","GOLGA7B","GOG7B_HUMAN"
"444","NOLC1","NOLC1_HUMAN"
"445","GSTO1","GSTO1_HUMAN"
"17.1","INPP5F","SAC2_HUMAN"
"446","WDR11","WDR11_HUMAN"
"446.1","WDR11","WDR11_HUMAN"
"447","PWWP2B","PWP2B_HUMAN"
"448","ANO5","ANO5_HUMAN"
"139.1","PRR5L","PRR5L_HUMAN"
"282.1","SLC3A2","4F2_HUMAN"
"282.2","SLC3A2","4F2_HUMAN"
"282.3","SLC3A2","4F2_HUMAN"
"449","PPP6R3","PP6R3_HUMAN"
"450","PLEKHB1","PKHB1_HUMAN"
"450.1","PLEKHB1","PKHB1_HUMAN"
"24.2","AAMDC","AAMDC_HUMAN"
"451","CEP126","CE126_HUMAN"
"452","PTS","PTPS_HUMAN"
"453","ANKK1","ANKK1_HUMAN"
"454","OAF","OAF_HUMAN"
"455","CCDC77","CCD77_HUMAN"
"456","FAR2","FACR2_HUMAN"
"457","LRRK2","LRRK2_HUMAN"
"458","TNS2","TNS2_HUMAN"
"459","RAP1B","RAP1B_HUMAN"
"226.1","FRS2","FRS2_HUMAN"
"226.2","FRS2","FRS2_HUMAN"
"226.3","FRS2","FRS2_HUMAN"
"460","RAB3IP","RAB3I_HUMAN"
"461","CNOT2","CNOT2_HUMAN"
"461.1","CNOT2","CNOT2_HUMAN"
"462","OTOGL","OTOGL_HUMAN"
"463","ANO4","ANO4_HUMAN"
"291.1","RPH3A","RP3A_HUMAN"
"464","RNFT2","RNFT2_HUMAN"
"465","MMP17","MMP17_HUMAN"
"466","DNAJC15","DJC15_HUMAN"
"229.1","RNASEH2B","RNH2B_HUMAN"
"467","FAM124A","F124A_HUMAN"
"468","TM9SF2","TM9S2_HUMAN"
"469","SCFD1","SCFD1_HUMAN"
"34.1","LRFN5","LRFN5_HUMAN"
"34.2","LRFN5","LRFN5_HUMAN"
"34.3","LRFN5","LRFN5_HUMAN"
"470","CGRRF1","CGRF1_HUMAN"
"149.1","GPHN","GEPH_HUMAN"
"471","ZNF410","ZN410_HUMAN"
"472","LIN52","LIN52_HUMAN"
"473","TTLL5","TTLL5_HUMAN"
"474","ADCK1","ADCK1_HUMAN"
"475","SPATA7","SPAT7_HUMAN"
"476","PPP4R4","PP4R4_HUMAN"
"477","TECPR2","TCPR2_HUMAN"
"478","MTA1","MTA1_HUMAN"
"299.2","SNRPN","RSMN_HUMAN"
"299.3","SNRPN","RSMN_HUMAN"
"299.4","SNRPN","RSMN_HUMAN"
"377.1","SEMA6D","SEM6D_HUMAN"
"479","TEX9","TEX9_HUMAN"
"480","PSTPIP1","PPIP1_HUMAN"
"481","GDPGP1","GDPP1_HUMAN"
"482","ABAT","GABT_HUMAN"
"483","SNX29","SNX29_HUMAN"
"484","HS3ST2","HS3S2_HUMAN"
"485","NDRG4","NDRG4_HUMAN"
"485.1","NDRG4","NDRG4_HUMAN"
"486","USP10","UBP10_HUMAN"
"307.1","GAS8","DRC4_HUMAN"
"487","CCDC144CP","C144C_HUMAN"
"488","NPEPPS","PSA_HUMAN"
"489","MSI2","MSI2H_HUMAN"
"490","RBBP8","CTIP_HUMAN"
"491","CTIF","CTIF_HUMAN"
"492","ATP9B","ATP9B_HUMAN"
"493","MADCAM1","MADCA_HUMAN"
"494","FZR1","FZR1_HUMAN"
"315.1","PIN1","PIN1_HUMAN"
"495","CCDC130","CC130_HUMAN"
"496","CRTC1","CRTC1_HUMAN"
"497","ZNF254","ZN254_HUMAN"
"54.1","ZNF420","ZN420_HUMAN"
"163.2","MAP3K10","M3K10_HUMAN"
"498","ZNF284","ZN284_HUMAN"
"499","TRAPPC12","TPC12_HUMAN"
"500","ASAP2","ASAP2_HUMAN"
"319.3","FAM228B","F228B_HUMAN"
"501","RMDN2","RMD2_HUMAN"
"502","ALMS1","ALMS1_HUMAN"
"503","ANKRD36","AN36A_HUMAN"
"504","MERTK","MERTK_HUMAN"
"504.1","MERTK","MERTK_HUMAN"
"505","CBWD2","CBWD2_HUMAN"
"59.3","R3HDM1","R3HD1_HUMAN"
"59.4","R3HDM1","R3HD1_HUMAN"
"172.1","KIF5C","KIF5C_HUMAN"
"506","FMNL2","FMNL2_HUMAN"
"507","FAM171B","F171B_HUMAN"
"62.1","GULP1","GULP1_HUMAN"
"508","INPP1","INPP_HUMAN"
"509","PTH2R","PTH2R_HUMAN"
"510","GPR35","GPR35_HUMAN"
"511","ING5","ING5_HUMAN"
"512","SMOX","SMOX_HUMAN"
"513","KIZ","KIZ_HUMAN"
"514","TM9SF4","TM9S4_HUMAN"
"515","RPN2","RPN2_HUMAN"
"516","FAM209B","F209B_HUMAN"
"517","TPD52L2","TPD54_HUMAN"
"518","USP16","UBP16_HUMAN"
"519","KCTD17","KCD17_HUMAN"
"520","SLC6A11","S6A11_HUMAN"
"242.1","PDCD6IP","PDC6I_HUMAN"
"410.1","ZNF620","ZN620_HUMAN"
"243.1","WDR6","WDR6_HUMAN"
"521","DZIP3","DZIP3_HUMAN"
"332.2","STXBP5L","STB5L_HUMAN"
"522","FAM162A","F162A_HUMAN"
"523","NEK11","NEK11_HUMAN"
"524","TRPC1","TRPC1_HUMAN"
"525","MFSD1","MFSD1_HUMAN"
"82.2","VPS8","VPS8_HUMAN"
"526","SENP2","SENP2_HUMAN"
"262.1","PIGX","PIGX_HUMAN"
"527","SLC30A9","ZNT9_HUMAN"
"528","PDGFRA","PGFRA_HUMAN"
"529","SRP72","SRP72_HUMAN"
"530","CCSER1","CCSE1_HUMAN"
"87.2","METAP1","MAP11_HUMAN"
"531","KIAA1109","K1109_HUMAN"
"531.1","KIAA1109","K1109_HUMAN"
"88.2","LARP1B","LAR1B_HUMAN"
"532","ETFDH","ETFD_HUMAN"
"533","CPE","CBPE_HUMAN"
"534","FRG1","FRG1_HUMAN"
