,x
1,TMEM180
2,FAM66C
3,LINC00507
4,TPT1-AS1
5,HERC2P9
6,LOC100996255
7,DPH6-AS1
8,SLX1B-SULT1A4
9,MIR548N
10,SELO
11,SELT
12,HRASLS
13,TMEM161B-AS1
14,LINC00265
15,LINC01000
16,PVT1
17,FRG1HP
18,MINOS1-NBL1
19,LOC728730
20,LINC00634
21,RPL23AP82
22,GTF2H2B
23,TRAF3IP2-AS1
24,ARMCX5-GPRASP2
25,TMEM5
26,SNORD109B
27,DNAJC27-AS1
28,ZFAS1
29,FAM19A5
30,LOC645513
31,JPX
32,GAREML
33,ATP5F1
34,KIAA1033
35,CCDC176
36,C16orf45
37,KIAA0195
38,LIPE-AS1
39,PQLC3
40,SOX2-OT
41,GUCY1A3
42,PAPD4
43,KIAA0141
44,ADCY10P1
45,LINC00996
46,RQCD1
47,SETD8
48,ZNF664-FAM101A
49,LINC01140
50,MRVI1-AS1
51,FLJ41278
52,RNF219-AS1
53,FAM179B
54,WHAMMP2
55,CIRH1A
56,USP32P1
57,ZNF271P
58,C19orf60
59,CENPBD1P1
60,DGCR5
61,LINC00693
62,LINC01094
63,ZBED3-AS1
64,LINC01189
65,FAM73B
66,BCDIN3D-AS1
67,LINC00907
68,WHSC1
69,INMT-FAM188B
70,LOC729970
71,MFSD4
72,PCNX
73,C1orf228
74,C10orf35
75,LOC100507387
76,LOC645166
77,CASC15
78,SNAI3-AS1
79,PTCHD3P1
80,AHSA2
81,ADAMTS9-AS2
82,DOPEY1
83,JAZF1-AS1
84,RBFADN
85,LOC399815
86,LOC100287036
87,KIAA1468
88,PARD6G-AS1
89,LOC100506274
90,C4orf32
91,FAM69B
92,TRAM2-AS1
93,HIATL1
94,GLUD1P7
95,QTRTD1
96,KIAA0922
97,ERICH1-AS1
98,LINC00493
99,EBLN3
100,LINC00327
101,MIR548AE2
102,LINC01122
103,PVRL3
104,SRP14-AS1
105,ABCA17P
106,BRE
107,C7orf55-LUC7L2
108,ERBB2IP
109,LINC01420
110,FLJ31104
111,FAM21C
112,LOC389765
113,LOC100506393
114,CCDC162P
115,LINC00467
116,C4orf22
117,NDUFA6-AS1
118,ADCK3
119,NUPL2
120,LINC00189
121,SKIV2L2
122,TPTE2P3
123,LOC100506207
124,CCDC94
125,BCRP2
126,CCDC64
127,2-Sep
128,LOC340017
129,GDNF-AS1
130,LOC440040
131,UBA6-AS1
132,C8orf37-AS1
133,ALOX12P2
134,C1orf204
135,RFWD2
136,KIAA1462
137,LINC01001
138,CCDC53
139,RRN3P3
140,TLDC1
141,C17orf51
142,PQLC1
143,LINC00320
144,NUP50-AS1
145,ENTPD3-AS1
146,ARHGEF26-AS1
147,RPL23AP53
148,LOC392232
149,LOC283856
150,MTSS1L
151,USP32P2
152,PCBP1-AS1
153,LOC220729
154,LOC100506746
155,LOC401320
156,PRH1-PRR4
157,LINC00665
158,BHLHE40-AS1
159,SCOC-AS1
160,TCEB1
161,LOC100133669
162,FLJ33534
163,THUMPD3-AS1
164,LINC00882
165,NR2F1-AS1
166,APTR
167,TP73-AS1
168,TMEM55A
169,TMEM72-AS1
170,LOC441666
171,LINC00426
172,SPG20
173,TPTE2P5
174,LINC00282
175,MRPL45P2
176,HPN-AS1
177,TSSC1
178,LOC100506474
179,PAK7
180,FGD5-AS1
181,KIAA1524
182,LOC553103
183,MIR548O2
184,VLDLR-AS1
185,NR2F2-AS1
186,AMZ2P1
187,TP53TG1
188,MGC72080
189,PLA2G16
190,LOC146880
191,C15orf38-AP3S2
192,FAM96A
193,VWA9
194,FAM65C
195,GUSBP2
196,DLEU2
197,ALS2CR12
198,GTF2IP1
199,LY86-AS1
200,LINC00951
201,LYPLAL1-AS1
202,PRKRIR
203,C2orf61
204,LOC654342
205,GUSBP9
206,LOC100288181
207,LOC286297
208,TMEM206
209,ENTPD1-AS1
210,RAD51L3-RFFL
211,LOC100131655
212,SDHAP1
213,LINC01184
214,KIAA0368
215,DFNB31
216,HIATL2
217,LOC653513
218,LOC643339
219,AES
220,C8orf34-AS1
221,FAM129B
222,15-Sep
223,EFTUD1
224,FAM58A
225,ZCCHC11
226,KDELC2
227,GS1-124K5.11
228,KGFLP2
229,CXorf36
230,LARGE
231,IKBKAP
232,TCEB2
233,KIAA1644
234,METTL10
235,SUV420H1
236,C4orf27
237,CYP4F24P
238,ZFHX4-AS1
239,CD27-AS1
240,LINC00461
241,NUTM2A-AS1
242,LINC01278
243,LHFP
244,LOC283922
245,LOC440434
246,LOC100507377
247,LY75-CD302
248,LOC100131564
249,CCBL1
250,PIR-FIGF
251,TMEM254-AS1
252,DYX1C1-CCPG1
